country,destination,attractiveness,cost,rating,visitors,destination_original,review_count,avg_review_score,sentiment_score,flight_cost_level,weather_penalty,bad_weather_share,historical_budget,avg_conversion_rate,avg_roi,campaign_efficiency,campaign_quality_alerts,demand_index,demand_lag_1,demand_ma_3,demand_growth,quality_score,tourism_score,attractiveness_cost_ratio,forecasted_demand,marketing_priority,recommended_budget,business_rule_weather_ok,forecast_next_period
Morocco,Fès,7.36,298,4.82,18022782,City_39,1.0,1.81,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.5586328349626223,0.3556719275438835,0.0246979865771812,20745947.44636678,0.6561497558250475,74200.0,True,103.7074520451761
Japan,Hiroshima,8.26,334,4.74,17424921,City_3,3.0,3.0066666666666664,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.6721211903392755,0.6241007225367279,0.0247305389221556,16631942.916666664,0.5807561287211712,68600.0,True,131.62151742023389
Spain,Madrid,9.04,680,4.52,16246641,City_10,2.0,3.1,0.0,2.0,0.25,0.0,75000.0,0.03,220000.0,2.933333333333333,1.0,88.3,66.4,112.1,0.3298192771084335,0.6015346463484761,0.501450203572509,0.0132941176470588,20524841.570557225,0.5540485053532088,66600.0,True,73.14060331186006
Portugal,Faro,9.92,221,3.57,14678841,City_43,1.0,4.47,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.4124568717653824,0.5704905240393191,0.0448868778280543,18825613.5825,0.5409114865706129,65600.0,True,76.99807786585852
USA,Las Vegas,9.66,1112,4.86,17195998,City_17,3.0,3.4933333333333336,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.9,105.5,86.64999999999995,0.1459715639810427,0.774960465784934,0.7571918141909468,0.0086870503597122,19706124.72227488,0.5380014818930343,65400.0,True,113.7610822136214
Italy,Venice,8.2,326,3.84,17685684,City_37,1.0,3.96,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,116.3,118.7,118.99999999999996,-0.0202190395956192,0.4517574755606671,0.5263346638797597,0.0251533742331288,16461691.63218197,0.5316097605447248,64900.0,True,120.22269841564314
Japan,Osaka,7.03,200,4.19,18316025,City_6,1.0,3.38,1.0,2.333333333333333,0.5499999999999999,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.5124101495112136,0.4466042323021907,0.03515,16378336.77600473,0.5283622817987786,64600.0,True,131.62151742023389
Japan,Kobe,8.53,302,4.49,15001843,City_31,1.0,2.24,1.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.487460465784934,0.5825700959496868,0.0282450331125827,14319135.014775414,0.5224844153485492,64200.0,True,131.62151742023389
Portugal,Coimbra,7.04,437,4.97,10682408,City_8,3.0,3.9333333333333336,0.6666666666666666,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.8684984186313973,0.2210064270467253,0.0161098398169336,13700188.26,0.5211883679111623,64100.0,True,76.99807786585852
Morocco,Tanger,8.82,321,4.21,16951469,City_14,0.0,4.21,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.6191776883266246,0.4938870716590664,0.0274766355140186,18537125.44279123,0.5153893504299553,63700.0,True,103.7074520451761
Spain,Barcelona,8.79,409,3.75,18529304,City_32,0.0,3.75,0.0,2.333333333333333,0.2333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,88.3,66.4,112.1,0.3298192771084335,0.3931785508913169,0.4578599630482675,0.0214914425427872,23490729.78690763,0.5124093374481544,63400.0,True,73.14060331186006
Germany,Düsseldorf,8.15,662,4.85,16731733,City_46,2.0,1.925,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.5835447814836111,0.6364935480964893,0.0123111782477341,16339602.24499632,0.5094545781136955,63200.0,True,136.89617138486955
