dataset,column,dtype,rows,missing,missing_rate,unique_values
destinations,country,object,160,0,0.0,8
destinations,destination,object,160,0,0.0,160
destinations,attractiveness,float64,160,0,0.0,123
destinations,cost,int64,160,0,0.0,155
destinations,rating,float64,160,0,0.0,103
destinations,visitors,int64,160,0,0.0,160
destinations,destination_original,object,160,0,0.0,50
market,country,object,287,0,0.0,8
market,month,datetime64[ns],287,0,0.0,36
market,demand_index,float64,287,0,0.0,243
reviews,country,object,800,0,0.0,8
reviews,destination,object,800,0,0.0,183
reviews,sentiment,object,800,0,0.0,3
reviews,score,float64,800,0,0.0,347
reviews,destination_original,object,800,0,0.0,50
external,country,object,300,0,0.0,8
external,destination,object,300,0,0.0,128
external,flight_price,object,300,0,0.0,3
external,weather,object,300,0,0.0,3
external,destination_original,object,300,0,0.0,50
campaigns,country,object,8,0,0.0,5
campaigns,destination,object,8,0,0.0,7
campaigns,campaign_budget,float64,8,1,0.125,6
campaigns,conversion_rate,float64,8,1,0.125,6
campaigns,roi,int64,8,0,0.0,8
campaigns,status,object,8,0,0.0,3
campaigns,destination_original,object,8,0,0.0,7
campaigns,campaign_contradiction,bool,8,0,0.0,2
