feature,importance
market_signal,0.8065216890491449
rolling_std_30,0.031419922092963785
month_num,0.020439980120127568
month,0.01807088828386647
rolling_mean_14,0.011950141717302793
lag_1,0.011911848142832594
lag_7,0.010998623004559878
rolling_std_7,0.009310095058774307
rolling_mean_30,0.009075653990645931
lag_3,0.008997833406356431
rolling_mean_7,0.006538505786340856
lag_2,0.006097301599983444
time_index,0.006019847501565511
marketing_priority,0.0060082063247471895
visitors,0.005878858853604994
rolling_max_30,0.005604477326825206
rolling_mean_3,0.00528751118962564
quarter,0.0035242106576098965
lag_14,0.0033431677033428538
weather_score,0.0028993236215235697
rolling_min_30,0.0024571117846654555
rating,0.0016391123537956621
attractiveness,0.001376317892788995
sentiment_score,0.0012660805488829588
cost,0.0009544861392090366
campaign_budget,0.0007463188507424515
country_USA,0.0003630412099117102
year,0.00035282640638974666
country_Morocco,0.0003268397243799374
country_Portugal,0.0001895912594714121
country_Japan,0.00011930999876024075
country_Italy,0.00010441201736033369
country_Spain,9.405619051621462e-05
country_France,7.020815871431937e-05
country_Germany,4.220203266783464e-05
lag_30,0.0
