Model,Fold,Train start,Train end,Test start,Test end,MAE,RMSE,MAPE
Random Forest + lag features,1,2022-01-01,2022-07-01,2022-07-01,2022-12-01,10.907119296066266,13.923124784335759,10.613463887570527
Gradient Boosting + lag features,1,2022-01-01,2022-07-01,2022-07-01,2022-12-01,16.308483690763577,20.119157363190897,16.210784061641572
Random Forest + lag features,2,2022-01-01,2022-12-01,2023-01-01,2023-06-01,10.510684075224292,12.795991031955792,9.842485636148739
Gradient Boosting + lag features,2,2022-01-01,2022-12-01,2023-01-01,2023-06-01,10.671885969865075,12.246850373259079,9.734421381478686
Random Forest + lag features,3,2022-01-01,2023-06-01,2023-06-01,2023-12-01,9.503508382269892,11.19736094099242,10.176486106922198
Gradient Boosting + lag features,3,2022-01-01,2023-06-01,2023-06-01,2023-12-01,8.6570773688955,10.808782412088462,8.977143848828012
Random Forest + lag features,4,2022-01-01,2023-12-01,2023-12-01,2024-06-01,5.461360160298636,6.903441665252675,4.663065748762188
Gradient Boosting + lag features,4,2022-01-01,2023-12-01,2023-12-01,2024-06-01,5.255614956206514,6.9088888346404,4.708655781868976
Random Forest + lag features,5,2022-01-01,2024-06-01,2024-06-01,2024-11-01,7.716821970324366,9.60870824007578,8.432040973709876
Gradient Boosting + lag features,5,2022-01-01,2024-06-01,2024-06-01,2024-11-01,6.7228719213453525,8.687233604685952,7.317112134522688
